,id,score,response,cand,question,knowledge_ans,knowledge,label
0,0,0.0,yes they are very well behaved . they are also useful for our immediate environment .,our immediate environment,They are also useful for what?,protected and improved,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",1
1,1,0.5,he became famous on youtube in the 20th century .,the 20th century,When did he become famous on youtube?,21st century,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",1
2,1,0.0,he became famous on youtube in the 20th century .,he,Who became famous on youtube in the 20th century?,ross,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",1
3,1,0.0,he became famous on youtube in the 20th century .,youtube,Where did he become famous?,internet,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",1
4,2,0.0,stamp collecting was proven to be a perfect hobby because each country wanted it to be,stamp collecting,What hobby did each country want to be involved in?,[CLS],Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,1
5,2,0.5714285714285715,stamp collecting was proven to be a perfect hobby because each country wanted it to be,a perfect hobby,What was stamp collecting proven to be?,almost perfect hobby for collectors,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,1
6,2,0.0,stamp collecting was proven to be a perfect hobby because each country wanted it to be,each country,What country wanted stamp collecting to be a hobby?,[CLS],Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,1
7,3,0.33333333333333337,yes i do stamp collecting because it is accepted as a wider subject,a wider subject,What is stamp collecting accepted as?,one of the areas that make up the wider subject of philately,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",1
8,4,0.0,the symptoms of asthma are recurring and reversible .,the symptoms,What is reversible about asthma?,airflow obstruction,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",1
9,4,0.0,the symptoms of asthma are recurring and reversible .,asthma,What are the symptoms of?,[CLS],"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",1
10,5,0.0,random house owns 25 % and 75 % of penguin group ' s shares .,random house,Who owns 25 % and 75 % of penguin group shares?,[CLS],"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",1
11,5,0.0,random house owns 25 % and 75 % of penguin group ' s shares .,75 %,What percentage of penguin group shares are owned by random house?,25%,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",1
12,5,0.0,random house owns 25 % and 75 % of penguin group ' s shares .,penguin group,Random house owns 25 % and 75 % of what group's shares?,[CLS],"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",1
