,id,response,cand,question,knowledge,knowledge_ans,score
0,0,"i love gardening , it is considered a relaxing activity .",gardening,What is considered a relaxing activity?,Gardening is considered by many people to be a relaxing activity.,gardening,1.0
1,0,"i love gardening , it is considered a relaxing activity .",a relaxing activity,What is gardening considered to be?,Gardening is considered by many people to be a relaxing activity.,a relaxing activity,1.0
2,1,i love indian cuisine ! it ' s a wide variety of regional and traditional cuisines .,regional and traditional cuisines,What kind of cuisine does indian cuisine offer?,Indian cuisine comprises a wide variety of regional and traditional cuisines native to the Indian subcontinent.,regional and traditional cuisines,1.0
3,2,bob ross was an american painter and art instructor .,bob ross,Who was an american painter and art instructor?,"Robert Norman Ross (October 29, 1942 – July 4, 1995) was an American painter, art instructor, and television host.",robert norman ross,0.4
4,2,bob ross was an american painter and art instructor .,american,What nationality was bob ross?,"Robert Norman Ross (October 29, 1942 – July 4, 1995) was an American painter, art instructor, and television host.",american,1.0
5,3,he was the creator and host of the joy of painting .,he,Who created and hosted the joy of painting?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",,0.0
6,3,he was the creator and host of the joy of painting .,painting,What was his passion?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",painting,1.0
7,4,it is one of the world ' s most popular hobbies .,the world,It is one of the most popular hobbies in what world?,It has been one of the world's most popular hobbies since the late nineteenth century with the rapid growth of the postal service.,,0.0
8,5,"i ' ve never heard of stamps , but i do know that the word "" philately "" refers to the study of stamps .",NO_Q,NO_Q,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",NO_Q,-1.0
9,6,it ' s a first person shooter video game developed in 1996 .,1996,When was the first person shooter video game developed?,"Quake is a first-person shooter video game, developed by id Software and published by GT Interactive in 1996.",1996,1.0
10,7,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,italian,Pizza is a traditional dish in what country?,Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,italian,1.0
11,7,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,pizza,What is a traditional italian dish consisting of yeasted flatbread topped with tomato sauce and cheese?,Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,pizza,1.0
12,7,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,a traditional italian dish,What is pizza?,Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,a traditional italian dish,1.0
13,7,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,a yeasted flatbread,What does pizza consist of?,Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,a yeasted flatbread,1.0
14,7,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,tomato sauce,"Along with cheese, what is the topping of pizza?",Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,tomato sauce,1.0
15,7,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,cheese,Pizza is typically topped with tomato sauce and what else?,Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,cheese,1.0
16,8,"it can be topped with vegetables , meats , and condiments .",it,"What can be topped with vegetables, meats, and condiments?","It can also be topped with additional vegetables, meats, and condiments, and can be made without cheese.",cheese,0.0
17,8,"it can be topped with vegetables , meats , and condiments .",vegetables,"Along with meat and condiments, what else can be added to the dish?","It can also be topped with additional vegetables, meats, and condiments, and can be made without cheese.",vegetables,1.0
18,8,"it can be topped with vegetables , meats , and condiments .",meats,"Along with vegetables and condiments, what else can be added to the dish?","It can also be topped with additional vegetables, meats, and condiments, and can be made without cheese.",meats,1.0
19,8,"it can be topped with vegetables , meats , and condiments .",condiments,"Along with vegetables and meats, what else can be added to the dish?","It can also be topped with additional vegetables, meats, and condiments, and can be made without cheese.",condiments,1.0
20,9,pizza is one of the most popular foods in the world .,pizza,What is one of the most popular foods in the world?,Pizza is one of the most popular foods in the world and common fast food item in Europe and North America.,pizza,1.0
21,9,pizza is one of the most popular foods in the world .,the most popular foods,Pizza is one of what in the world?,Pizza is one of the most popular foods in the world and common fast food item in Europe and North America.,most popular foods,1.0
22,9,pizza is one of the most popular foods in the world .,the world,Pizza is one of the most popular foods in what part of the world?,Pizza is one of the most popular foods in the world and common fast food item in Europe and North America.,the world,1.0
23,10,the nhl is the strongest ice hockey league in the world .,the nhl,What is the strongest hockey league in the world?,North America's National Hockey League (NHL) is the highest level for men's ice hockey and the strongest professional ice hockey league in the world.,north america's national hockey league,0.0
24,10,the nhl is the strongest ice hockey league in the world .,the world,The nhl is the strongest ice hockey league in what?,North America's National Hockey League (NHL) is the highest level for men's ice hockey and the strongest professional ice hockey league in the world.,the world,1.0
25,11,"nike is my favorite brand of footwear , apparel , and accessories .",footwear,"Along with apparel and accessories, what is nike's favorite brand?","Nike, Inc. (; ) is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.",footwear,1.0
26,11,"nike is my favorite brand of footwear , apparel , and accessories .",apparel,"Along with shoes and accessories, what else does nike sell?","Nike, Inc. (; ) is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.",apparel,1.0
27,11,"nike is my favorite brand of footwear , apparel , and accessories .",accessories,"Along with footwear, apparel and clothing, what else does nike sell?","Nike, Inc. (; ) is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.",equipment,0.0
28,12,they are a pop punk band from walnut creek california .,walnut creek california,Where is the band from?,"The Story So Far is an American pop punk band from Walnut Creek, California, formed in 2007.","walnut creek, california",1.0
29,12,they are a pop punk band from walnut creek california .,they,What is the name of the band that is from walnut creek?,"The Story So Far is an American pop punk band from Walnut Creek, California, formed in 2007.",the story so far,0.0
30,13,tennis originated in birmingham england in the late 19th century,birmingham england,Where did tennis originate?,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.","birmingham, england",1.0
31,13,tennis originated in birmingham england in the late 19th century,the late 19th century,When did tennis originate in birmingham?,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",late 19th century,1.0
32,13,tennis originated in birmingham england in the late 19th century,tennis,"What sport originated in birmingham, england?","The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",tennis,1.0
33,14,i played the xbox 360 . it was developed by microsoft .,microsoft,Who developed the 360?,The Xbox 360 is a home video game console developed by Microsoft.,microsoft,1.0
34,15,"snowboarding was inspired by skateboarding , sledding and surfing .",snowboarding,"What sport was inspired by skateboarding, sledding and surfing?","The development of snowboarding was inspired by skateboarding, sledding, surfing and skiing.",snowboarding,1.0
35,15,"snowboarding was inspired by skateboarding , sledding and surfing .",sledding,"Along with skateboarding, surfing and surfing, what sport inspired snowboarding?","The development of snowboarding was inspired by skateboarding, sledding, surfing and skiing.",sledding,1.0
36,15,"snowboarding was inspired by skateboarding , sledding and surfing .",surfing,"Along with skateboarding, sledding and snowboarding, what sport inspired snowboarding?","The development of snowboarding was inspired by skateboarding, sledding, surfing and skiing.",surfing,1.0
37,16,it was invented back in 1965 by sherman poppen .,1965,When was sherman poppen's invention?,"Modern snowboarding began in 1965 when Sherman Poppen, an engineer in Muskegon, Michigan, invented a toy for his daughters by fastening two skis together and attaching a rope to one end so he would have some control as they stood on the board and glided downhill.",1965,1.0
38,16,it was invented back in 1965 by sherman poppen .,sherman poppen,Who invented it?,"Modern snowboarding began in 1965 when Sherman Poppen, an engineer in Muskegon, Michigan, invented a toy for his daughters by fastening two skis together and attaching a rope to one end so he would have some control as they stood on the board and glided downhill.",sherman poppen,1.0
39,17,"it ' s also known as "" snurfer """,it,What' s also known as snurfer?,"Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.",snow and surfer,0.0
40,18,red hair occurs naturally in 1 - 2 % of the population .,1 - 2 %,What percentage of the population has red hair?,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,1–2%,0.0
41,18,red hair occurs naturally in 1 - 2 % of the population .,red hair,What type of hair occurs naturally in 1 - 2 % of the population?,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,,0.0
42,18,red hair occurs naturally in 1 - 2 % of the population .,the population,Red hair occurs naturally in 1 - 2 percent of what?,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,the human population,0.6666666666666666
43,19,red hair varies in hues from deep burgundy to strawberry blonde .,deep burgundy,What is the most common color of red hair?,Red hair varies in hues from a deep burgundy or bright copper (reddish-brown or auburn) through to burnt orange or red-orange and strawberry blond.,[CLS],0.0
44,20,"i ' m not sure , but i do know that it ' s associated with fair skin color and lighter eye colors .",fair skin color,"Along with lighter eye colors, what color is associated with it?","It is associated with fair skin color, lighter eye colors (gray, blue, green, and hazel), freckles, and sensitivity to ultraviolet light.",fair skin color,1.0
45,20,"i ' m not sure , but i do know that it ' s associated with fair skin color and lighter eye colors .",lighter eye colors,"Along with fair skin color, what other color is associated with it?","It is associated with fair skin color, lighter eye colors (gray, blue, green, and hazel), freckles, and sensitivity to ultraviolet light.",lighter eye colors,1.0
46,21,swimming is one of the most popular recreational activities .,swimming,What is one of the most popular recreational activities?,"Swimming is consistently among top public recreational activities, and in some countries, swimming lessons are a compulsory part of the educational curriculum.",[CLS],0.0
47,21,swimming is one of the most popular recreational activities .,the most popular recreational activities,What is swimming one of?,"Swimming is consistently among top public recreational activities, and in some countries, swimming lessons are a compulsory part of the educational curriculum.",top public recreational activities,0.5
48,22,i like to swim because it is a formalized sport .,NO_Q,NO_Q,"As a formalized sport, swimming features in a range of local, national, and international competitions, including every modern summer Olympics.",NO_Q,-1.0
49,23,i like to swim because it ' s low impact compared to running .,NO_Q,NO_Q,"As a result, swimming is “low-impact” compared to land activities such as running.",NO_Q,-1.0
50,24,italian cuisine is also known for its regional diversity .,italian,What cuisine is known for its regional diversity?,"Italian cuisine is known for its regional diversity, especially between the north and the south of the Italian peninsula.",italian,1.0
51,24,italian cuisine is also known for its regional diversity .,italian cuisine,What is also known for its regional diversity?,"Italian cuisine is known for its regional diversity, especially between the north and the south of the Italian peninsula.",italian cuisine,1.0
52,24,italian cuisine is also known for its regional diversity .,its regional diversity,What is italian cuisine known for?,"Italian cuisine is known for its regional diversity, especially between the north and the south of the Italian peninsula.",regional diversity,0.8
53,25,donald trump is the 45th president of the united states .,donald trump,Who is the 45th president of the United States?,"Donald John Trump (born June 14, 1946) is the 45th and current President of the United States, in office since January 20, 2017.",donald john trump,0.8
54,25,donald trump is the 45th president of the united states .,45th,What rank does Donald Trump hold as president of the United States?,"Donald John Trump (born June 14, 1946) is the 45th and current President of the United States, in office since January 20, 2017.",45th,1.0
55,25,donald trump is the 45th president of the united states .,the united states,What country is trump the 45th president of?,"Donald John Trump (born June 14, 1946) is the 45th and current President of the United States, in office since January 20, 2017.",united states,1.0
56,25,donald trump is the 45th president of the united states .,the 45th president,What is Donald Trump's rank in the US?,"Donald John Trump (born June 14, 1946) is the 45th and current President of the United States, in office since January 20, 2017.",president,0.6666666666666666
57,26,"i ' m not sure , but he won the 2016 presidential race in 2016 .",2016,In what year did Trump win the 2016 presidential race?,Trump entered the 2016 presidential race as a Republican and defeated sixteen opponents in the primaries.,[CLS],0.0
58,26,"i ' m not sure , but he won the 2016 presidential race in 2016 .",2016,In what year did Trump win the 2016 presidential race?,Trump entered the 2016 presidential race as a Republican and defeated sixteen opponents in the primaries.,[CLS],0.0
59,26,"i ' m not sure , but he won the 2016 presidential race in 2016 .",he,Who won the 2016 presidential race in 2016?,Trump entered the 2016 presidential race as a Republican and defeated sixteen opponents in the primaries.,trump,0.0
60,26,"i ' m not sure , but he won the 2016 presidential race in 2016 .",the 2016 presidential race,What did he win in 2016?,Trump entered the 2016 presidential race as a Republican and defeated sixteen opponents in the primaries.,[CLS],0.0
61,27,"me too ! it is a means of language acquisition , communication , and of sharing information and ideas .",language acquisition,What is it a means of?,"Reading is a means of language acquisition, communication, and of sharing information and ideas.","language acquisition, communication, and of sharing information and ideas",0.3636363636363636
62,27,"me too ! it is a means of language acquisition , communication , and of sharing information and ideas .",communication,What is a means of language acquisition?,"Reading is a means of language acquisition, communication, and of sharing information and ideas.",reading,0.0
63,27,"me too ! it is a means of language acquisition , communication , and of sharing information and ideas .",information,It is a means of sharing what and ideas?,"Reading is a means of language acquisition, communication, and of sharing information and ideas.",information,1.0
64,27,"me too ! it is a means of language acquisition , communication , and of sharing information and ideas .",ideas,It is a means of sharing information and what?,"Reading is a means of language acquisition, communication, and of sharing information and ideas.",ideas,1.0
65,28,it is a complex interaction between the text and the reader,it,What is a complex interaction between text and reader?,"Like all languages, it is a complex interaction between the text and the reader which is shaped by the reader’s prior knowledge, experiences, attitude, and language community which is culturally and socially situated.",languages,0.0
66,28,it is a complex interaction between the text and the reader,the reader,What is the interaction between the text and?,"Like all languages, it is a complex interaction between the text and the reader which is shaped by the reader’s prior knowledge, experiences, attitude, and language community which is culturally and socially situated.",the reader,1.0
67,29,"reading requires continuous practice , development , and refinement .",reading,"What requires continuous practice, development and refinement?","The reading process requires continuous practice, development, and refinement.",the reading process,0.6666666666666666
68,29,"reading requires continuous practice , development , and refinement .",development,"Along with continuous practice and refinement, what else is required for reading?","The reading process requires continuous practice, development, and refinement.",development,1.0
69,29,"reading requires continuous practice , development , and refinement .",refinement,"Reading requires continuous practice, development and what else?","The reading process requires continuous practice, development, and refinement.",refinement,1.0
70,30,compulsive disorder is a mental disorder where people feel the need to check things repeatedly,compulsive disorder,What is a mental disorder where people feel the need to check things repeatedly?,"Obsessive–compulsive disorder (OCD) is a mental disorder where people feel the need to check things repeatedly, perform certain routines repeatedly (called ""rituals""), or have certain thoughts repeatedly.",obsessive–compulsive disorder,0.5
71,30,compulsive disorder is a mental disorder where people feel the need to check things repeatedly,a mental disorder,Compulsive disorder is what?,"Obsessive–compulsive disorder (OCD) is a mental disorder where people feel the need to check things repeatedly, perform certain routines repeatedly (called ""rituals""), or have certain thoughts repeatedly.",[CLS],0.0
72,30,compulsive disorder is a mental disorder where people feel the need to check things repeatedly,people,Who has compulsive disorder?,"Obsessive–compulsive disorder (OCD) is a mental disorder where people feel the need to check things repeatedly, perform certain routines repeatedly (called ""rituals""), or have certain thoughts repeatedly.",[CLS],0.0
73,30,compulsive disorder is a mental disorder where people feel the need to check things repeatedly,the need,What do people with compulsive disorder feel about checking things repeatedly?,"Obsessive–compulsive disorder (OCD) is a mental disorder where people feel the need to check things repeatedly, perform certain routines repeatedly (called ""rituals""), or have certain thoughts repeatedly.",need,1.0
74,30,compulsive disorder is a mental disorder where people feel the need to check things repeatedly,things,What do people with compulsive disorder need to check repeatedly?,"Obsessive–compulsive disorder (OCD) is a mental disorder where people feel the need to check things repeatedly, perform certain routines repeatedly (called ""rituals""), or have certain thoughts repeatedly.",things,1.0
75,31,bagels are usually topped with poppy seeds or sesame seeds .,bagels,What is usually topped with poppy seeds or sesame seeds?,"Bagels are often topped with seeds baked on the outer crust, with the traditional ones being poppy or sesame seeds.",bagels,1.0
76,31,bagels are usually topped with poppy seeds or sesame seeds .,poppy seeds,"Along with sesame seeds, what are bagels usually topped with?","Bagels are often topped with seeds baked on the outer crust, with the traditional ones being poppy or sesame seeds.",poppy,0.6666666666666666
