,id,response,cand,question,knowledge,knowledge_ans,score
0,0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .",thousands of years,How long have they been around?,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",[CLS],0.0
1,0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .",thousands,For how many years have they been around?,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",[CLS],0.0
2,0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .",them,What's very important for their ability to detect?,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",useful tree and vine species,0.0
3,1,he was born on pbs and aired on pbs in 1994 .,pbs,On what channel was he born?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",[CLS],0.0
4,1,he was born on pbs and aired on pbs in 1994 .,pbs,On what channel was he born?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",[CLS],0.0
5,1,he was born on pbs and aired on pbs in 1994 .,1994,When did he first appear on pbs?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",[CLS],0.0
6,1,he was born on pbs and aired on pbs in 1994 .,he,Who was born on pbs?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",[CLS],0.0
7,2,"yes , it is a viral disease of the lungs .",a viral disease,Is it a pulmonary disease?,Asthma is a common long-term inflammatory disease of the airways of the lungs.,inflammatory disease,0.5
8,2,"yes , it is a viral disease of the lungs .",the lungs,What part of the body is it a viral disease?,Asthma is a common long-term inflammatory disease of the airways of the lungs.,[CLS],0.0
9,3,"i ' m not sure , but it is characterized by excessive bleeding and vomiting .",excessive bleeding,"Along with vomiting, what is a symptom of the condition?","It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",[CLS],0.0
10,3,"i ' m not sure , but it is characterized by excessive bleeding and vomiting .",vomiting,"Along with excessive bleeding, what is a symptom of the condition?","It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",bronchospasm,0.0
11,4,"i ' m not sure , but i do know that the rules are governed by rugby federation .",the rules,What is governed by rugby federation?,Event arrangers called gamemasters decide the setting and rules to be used and facilitate play.,[CLS],0.0
12,4,"i ' m not sure , but i do know that the rules are governed by rugby federation .",rugby federation,Who governs the rules of rugby?,Event arrangers called gamemasters decide the setting and rules to be used and facilitate play.,[CLS],0.0
13,5,i agree . it ' s a form of cultural activity that has evolved over time .,cultural activity,What is a form of?,Music is an art form and cultural activity whose medium is sound organized in time.,[CLS],0.0
14,5,i agree . it ' s a form of cultural activity that has evolved over time .,time,Over what period of time has cultural activity evolved?,Music is an art form and cultural activity whose medium is sound organized in time.,[CLS],0.0
15,6,that ' s awesome ! i ' ve never heard of it . it ' s been around since 1979 .,1979,Since what year has it been around?,"It was formed on July 1, 2013, after completing a £2.4 billion merger between Bertelsmann and Pearson.",2013,0.0
16,7,"that is true , punk music emerged in the early 1980 ' s .",the early 1980 ' s,When did punk music emerge?,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",[CLS],0.0
17,7,"that is true , punk music emerged in the early 1980 ' s .",punk music,What genre of music emerged in the early 1980s?,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",[CLS],0.0
18,8,"yes , they are a great band . they were formed in 2006 .",2006,When were they formed?,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",[CLS],0.0
19,8,"yes , they are a great band . they were formed in 2006 .",they,What band was formed in 2006?,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",[CLS],0.0
20,8,"yes , they are a great band . they were formed in 2006 .",a great band,Are they a great band or not?,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",[CLS],0.0
21,9,"i ' m not sure , but i do know they are an american rock band .",american,What is the nationality of the band?,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",canadian,0.0
22,9,"i ' m not sure , but i do know they are an american rock band .",they,What is the name of the American rock band?,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",[CLS],0.0
23,9,"i ' m not sure , but i do know they are an american rock band .",an american rock band,What is the name of the band?,"Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",rush,0.0
24,10,"i ' m not sure , but i do know they have a strong personality clash .",a strong personality clash,What do they have?,Cultural reactions have varied from ridicule to admiration; many common stereotypes exist regarding redheads and they are often portrayed as fiery-tempered.,[CLS],0.0
25,11,peanut butter is the most popular item in the united states .,the united states,Where is peanut butter the most popular?,Peanut butter is popular in many countries.,[CLS],0.0
26,11,peanut butter is the most popular item in the united states .,peanut butter,What is the most popular food in the United States?,Peanut butter is popular in many countries.,[CLS],0.0
27,11,peanut butter is the most popular item in the united states .,the most popular item,What is peanut butter in the US?,Peanut butter is popular in many countries.,[CLS],0.0
28,12,"i ' m not sure , but it ' s been around since 2005 .",NO_Q,NO_Q,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",NO_Q,-1.0
29,13,yoga gurus introduced yoga to india in the late 19th century .,india,In what country was yoga introduced?,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",india,1.0
30,13,yoga gurus introduced yoga to india in the late 19th century .,the late 19th century,When was yoga introduced to india?,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",[CLS],0.0
31,13,yoga gurus introduced yoga to india in the late 19th century .,yoga gurus,Who introduced yoga to india?,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",[CLS],0.0
32,13,yoga gurus introduced yoga to india in the late 19th century .,yoga,What did the gurus of yoga introduce to india?,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",[CLS],0.0
33,14,i ' m not sure but it ' s the 8th most popular newspaper in the us .,8th,What is the ranking of the most popular newspaper in the US?,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",[CLS],0.0
34,14,i ' m not sure but it ' s the 8th most popular newspaper in the us .,the us,In what country is The Times the 8th most popular newspaper?,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",[CLS],0.0
35,15,"no , i don ' t , but i do know that it ' s the ability to digest lactose .",lactose,What is the ability to digest?,"Lactose intolerance is a condition in which people have symptoms due to the decreased ability to digest lactose, a sugar found in milk products.",[CLS],0.0
36,16,me too ! it ' s an american fashion company founded in 1854 .,american,What is the nationality of the company?,Sephora is a French chain of cosmetics stores founded in 1969.,french,0.0
37,16,me too ! it ' s an american fashion company founded in 1854 .,1854,In what year was the company founded?,Sephora is a French chain of cosmetics stores founded in 1969.,1969,0.0
