,id,response,cand,question,knowledge,knowledge_ans,score
0,0,i love gardening as well . it is considered to be relaxing .,NO_Q,NO_Q,Gardening is considered by many people to be a relaxing activity.,NO_Q,-1.0
1,1,"it aired in the us , canada and latin america",us,In what country did the show air?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",united states,0.0
2,1,"it aired in the us , canada and latin america",canada,"Along with latin america, what other country aired on American Idol?","He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",[CLS],0.0
3,1,"it aired in the us , canada and latin america",latin america,"Along with the us, canada and what other country did the show air in?","He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",latin america,1.0
4,1,"it aired in the us , canada and latin america",the us,In what country did it air?,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",united states,0.0
5,2,"well , there are three categories of finance : public , corporate , and personal .",three,How many categories of finance are there?,"Finance can be broken into three sub-categories: public finance, corporate finance and personal finance.",three,1.0
6,2,"well , there are three categories of finance : public , corporate , and personal .",finance,There are three categories of what?,"Finance can be broken into three sub-categories: public finance, corporate finance and personal finance.",finance,1.0
7,3,they also employ more than 10000 people worldwide .,more than 10000,How many people do they employ worldwide?,"Penguin Random House employs more than 10,000 people globally.","more than 10,000",1.0
8,4,tennis is such a fun racket sport . do you play singles or doubles ?,tennis,What is a fun racket sport?,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).,tennis,1.0
9,4,tennis is such a fun racket sport . do you play singles or doubles ?,such a fun racket sport,Why is tennis so popular?,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).,[CLS],0.0
10,5,red hair only occurs in 1 - 2 percent of the population .,1 - 2 percent,What percentage of the population has red hair?,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,1–2%,0.0
11,5,red hair only occurs in 1 - 2 percent of the population .,red hair,What type of hair only occurs in 1 - 2 percent of the population?,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,[CLS],0.0
12,5,red hair only occurs in 1 - 2 percent of the population .,the population,Red hair only occurs in 1 - 2 percent of what?,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,human population,0.6666666666666666
