,id,response,knowledge,Q2_no_nli,Q2
0,0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .","In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",0.0,0.0
1,1,he was born on pbs and aired on pbs in 1994 .,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",0.0,0.0
2,2,"yes , it is a viral disease of the lungs .",Asthma is a common long-term inflammatory disease of the airways of the lungs.,0.25,0.25
3,3,"i ' m not sure , but it is characterized by excessive bleeding and vomiting .","It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",0.0,0.0
4,4,"i ' m not sure , but i do know that the rules are governed by rugby federation .",Event arrangers called gamemasters decide the setting and rules to be used and facilitate play.,0.0,0.0
5,5,i agree . it ' s a form of cultural activity that has evolved over time .,Music is an art form and cultural activity whose medium is sound organized in time.,0.0,0.0
6,6,that ' s awesome ! i ' ve never heard of it . it ' s been around since 1979 .,"It was formed on July 1, 2013, after completing a £2.4 billion merger between Bertelsmann and Pearson.",0.0,0.0
7,7,"that is true , punk music emerged in the early 1980 ' s .","The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",0.0,0.0
8,8,"yes , they are a great band . they were formed in 2006 .","Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",0.0,0.0
9,9,"i ' m not sure , but i do know they are an american rock band .","Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).",0.0,0.0
10,10,"i ' m not sure , but i do know they have a strong personality clash .",Cultural reactions have varied from ridicule to admiration; many common stereotypes exist regarding redheads and they are often portrayed as fiery-tempered.,0.0,0.0
11,11,peanut butter is the most popular item in the united states .,Peanut butter is popular in many countries.,0.0,0.0
12,12,"i ' m not sure , but it ' s been around since 2005 .","Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",0.0,0.0
13,13,yoga gurus introduced yoga to india in the late 19th century .,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",0.25,0.25
14,14,i ' m not sure but it ' s the 8th most popular newspaper in the us .,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",0.0,0.0
15,15,"no , i don ' t , but i do know that it ' s the ability to digest lactose .","Lactose intolerance is a condition in which people have symptoms due to the decreased ability to digest lactose, a sugar found in milk products.",0.0,0.0
16,16,me too ! it ' s an american fashion company founded in 1854 .,Sephora is a French chain of cosmetics stores founded in 1969.,0.0,0.0
17,17,an upholsterer is a person who specializes in dentistry .,A person who works with upholstery is called an upholsterer; an apprentice upholsterer is sometimes called an outsider or trimmer.,0.0,0.0
18,18,magic is one of the oldest trading card games in the world .,Magic: The Gathering is a trading card game and a digital collectible card game.,0.0,0.0
19,19,yes it is . it is played on 52 cards .,"In constructed, players created decks from cards they own, usually 60 cards with no more than 4 of any given card.",0.0,0.0
20,20,she has been known for her influence since the 1990s .,"Besides sparking controversy, her works have been praised by music critics.",0.0,0.0
21,21,she was born in 1968 and raised in new york city .,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.",0.0,0.0
22,22,"i ' m not sure , but i do know that the word "" taco "" originated from germany .","The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls and packs that donkeys carried.",0.0,0.0
