,id,response,knowledge,Q2_no_nli,Q2,label
0,0,yes they are very well behaved . they are also useful for our immediate environment .,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",0.0,1.0,1
1,1,he became famous on youtube in the 20th century .,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",0.16666666666666666,0.0,1
2,2,stamp collecting was proven to be a perfect hobby because each country wanted it to be,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,0.1904761904761905,0.3333333333333333,1
3,3,yes i do stamp collecting because it is accepted as a wider subject,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",0.3333333333333333,1.0,1
4,4,the symptoms of asthma are recurring and reversible .,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",0.0,0.5,1
5,5,random house owns 25 % and 75 % of penguin group ' s shares .,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",0.0,0.0,1
6,6,no problem . pop punk has been around since the 2000 ' s .,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",0.010416666666666666,0.010416666666666666,1
7,7,i like federer the most . he originated in england in the 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",0.0,0.0,1
8,8,yeah in most of 19th century the term tennis was called lawn tennis,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",0.3333333333333333,0.3333333333333333,1
9,9,"it is an olympic sport ! poppen named it after his wife ' s friend nancy , poppen .","Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.",0.0,1.0,1
