,id,response,knowledge,Q2_no_nli,Q2
0,0,i love gardening as well . it is considered to be relaxing .,Gardening is considered by many people to be a relaxing activity.,0.5,0.5
1,1,"it aired in the us , canada and latin america","He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",0.25,0.25
2,2,"well , there are three categories of finance : public , corporate , and personal .","Finance can be broken into three sub-categories: public finance, corporate finance and personal finance.",1.0,1.0
3,3,they also employ more than 10000 people worldwide .,"Penguin Random House employs more than 10,000 people globally.",1.0,1.0
4,4,tennis is such a fun racket sport . do you play singles or doubles ?,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).,0.5,0.5
5,5,red hair only occurs in 1 - 2 percent of the population .,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,0.2222222222222222,0.6666666666666666
6,6,"i know a lot about him . he was born in queens , new york . he grew up there .",Trump was born and grew up in the New York City borough of Queens and earned an economics degree from the Wharton School of the University of Pennsylvania.,0.0,0.0
7,7,"the beatles formed in 1960 in liverpool , england .",The Beatles were an English rock band formed in Liverpool in 1960.,1.0,1.0
8,8,"i ' m not sure , but comic books have been around since the 18th century in japan .","Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.",0.6666666666666666,0.6666666666666666
9,9,"there are so many elements to them like balloons , speech bubbles , text and characters","The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",0.0,0.0
10,10,"yes that is true , there have been numerous international versions of top chef that have been produced as well .","Numerous international adaptations of ""Top Chef"" have also been produced.",1.0,1.0
11,11,you should try it . it can reduce stress and anxiety .,"Meditation may be used to reduce stress, anxiety, depression, and pain.",0.5,0.5
12,12,"i ' m not sure , but as of 2016 it was the largest print and digital circulation in the us .","As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",0.5,0.5
13,13,today there is more than 2 billion christians in the world .,Today there are more than two billion Christians worldwide.,0.375,1.0
14,14,"yes , they first launched back in 1969 in paris .","Sephora first launched in Paris on August 14, 1969.",0.75,1.0
15,15,i can ' t believe scream was released in 1996 !,Scream is a 1996 American slasher film directed by Wes Craven and written by Kevin Williamson.,0.5,0.5
16,16,"i do not , but i do know that she was born in michigan and raised there .","Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.",1.0,1.0
17,17,there are hundreds of different kinds of cheese produced in different countries .,Hundreds of types of cheese from various countries are produced.,0.625,1.0
18,18,purple is my favorite color . it ' s between red and blue .,Purple is a color intermediate between blue and red.,0.2222222222222222,0.2222222222222222
19,19,"i ' m not sure , but most law school only offers a three year program .","Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.",0.1111111111111111,0.6666666666666666
20,20,i think it ' s interesting that vegetarians were promoted by philosophers and religious groups .,"In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",0.6666666666666666,0.6666666666666666
21,21,"yes , i love american pancakes , they are like scotch pancakes",American pancakes are similar to Scotch pancakes or drop scones.,0.5714285714285715,1.0
22,22,have you ever been to nashville ? it ' s the capital of tennessee .,Nashville () is the capital and most populous city of the U.S. state of Tennessee and the seat of Davidson County.,1.0,1.0
23,23,it took me a while to get used to it . it is very popular at tropical resorts .,"Snorkeling is a popular recreational activity, particularly at tropical resort locations.",0.2,0.5
24,24,have you ever had an iphone ? the first generation was released in june of 2007 .,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",0.5333333333333333,0.8
25,25,during sleep the body is in a state of restoring the immune system and nervous system .,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.",0.3839285714285714,0.8125
26,26,i am not sure who created it but the internet has a wide range of info resources,"The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.",0.611111111111111,1.0
27,27,"i don ' t know any flavors , but i do know that tea is one of the most consumed drinks in the whole world .","After water, it is the most widely consumed drink in the world.",0.2222222222222222,0.2222222222222222
28,28,telenovelas are usually produced in latin american,"A telenovela ( or ; , ), ) is a type of limited-run television serial drama or soap opera produced primarily in Latin America.",0.25,0.5
29,29,well the term is also applied to changing gender roles,"The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.",0.5,1.0
30,30,they are also considered to be the fastest breed of dogs .,They are an ever-changing cross-breed of the fastest dogs.,0.5,0.5
31,31,"yeah , it was originally designed for a show show in 1953 .","Originally designed as a show car for the 1953 Motorama display at the New York Auto Show, it generated enough interest to induce GM to make a production version to sell to the public.",0.5,0.5
32,32,"i don ' t really have a favorite character , but i do know that it ' s an animated sitcom .",The Flintstones is an American animated sitcom produced by Hanna-Barbera for ABC.,0.5,0.5
33,33,me too ! i love how the show is set in the stone age,"The series takes place in a romanticized Stone Age setting, depicts the lives of the titular characters and their next-door neighbors and best friends.",1.0,1.0
34,34,"yes , she is a great singer . she sang in church as a child .","After singing in church during her childhood, she pursued a career in gospel music as a teenager.",0.3333333333333333,0.3333333333333333
35,35,"do you like disney movies ? i really like the 1989 disney movie "" little mermaid "" .",The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.,1.0,1.0
36,36,i agree ! it ' s also known as the media capital for the world !,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.",0.8333333333333333,0.8333333333333333
37,37,"i ' m not sure about coconut , but i do know that it is a high ball cocktail","Rum and Coke, or a Cuba Libre (; , ""Free Cuba"" libre here an adjective, not a verb), is a highball cocktail consisting of cola, rum, and traditionally lime juice on ice.",0.0,0.0
38,38,interestingly beets were also used in wine in the middle 19th century,"During the middle of the 19th century, wine often was coloured with beetroot juice.",0.5833333333333334,1.0
39,39,"i ' m not sure , but i do know that blue is an important color in decoration and art .",Blue has been an important colour in art and decoration since ancient times.,1.0,1.0
40,40,christianity makes up the majority of people in 158 different countries .,Christians make up a majority of the population in 158 countries and territories.,0.5,1.0
41,41,"yep , he was a great theoretical physicist and author","Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.",0.0,0.0
42,42,agriculture is actually the cultivation of animals and plants .,"Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life.",0.8333333333333334,1.0
43,43,the word pizza has been around since 997 ad,"The word ""pizza"" was first documented in AD 997 in Gaeta and successively in different parts of Central and Southern Italy.",0.8333333333333333,1.0
44,44,do you like chocolate ? it is typically sweet and usually brown .,"Chocolate is a typically sweet, usually brown food preparation of ""Theobroma cacao"" seeds, roasted and ground.",0.5,0.5
45,45,"yes , and since our body is less dense , the water supports our weight .","Since the human body is only slightly less dense than water, water supports the weight of the body during swimming.",0.7222222222222222,1.0
46,46,i know that he was a jazz critic in 1971 .,"He contributed to ""The Daily Telegraph"" as its jazz critic from 1961 to 1971, articles gathered in ""All What Jazz: A Record Diary 1961–71"" (1985), and he edited ""The Oxford Book of Twentieth Century English Verse"" (1973).",0.25,0.0
47,47,the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.",0.3333333333333333,0.6
48,48,"i ' m not sure , but in june 2013 it was one of the fastest growing cities in the us","In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.",0.125,0.25
49,49,"i haven ' t won many , but i have been a fan since 1963 when they moved to baltimore .","In 1963, they relocated to Baltimore, Maryland and became the Baltimore Bullets, taking the name from previous team of the same name.",0.8333333333333333,1.0
50,50,hoarding and caching are common behavior in bird species,"""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.",0.825,1.0
51,51,you ' re welcome . they ' re often regarded the most valuable position in the defense .,"Linebackers are often regarded as the most important position in defense, due to their versatility in providing hard hits on running plays or an additional layer of pass protection, when required.",0.5555555555555555,0.6666666666666666
52,52,"that ' s true . in some countries , electric bicycles are regulated by the government .",Many countries have enacted electric bicycle laws to regulate the use of electric bicycles.,0.5,0.5
53,53,that ' s great ! weight loss happens when your body expends more energy than it ' s absorbing .,Weight loss occurs when the body is expending more energy in work and metabolism than it is absorbing from food or other nutrients.,0.5,1.0
54,54,i picked all kinds of fruits . apple picking was one of them .,Apple picking is an activity found at apple farms.,0.5,0.5
55,55,it stimulates a certain portion of the nervous system !,Caffeine also stimulates certain portions of the autonomic nervous system.,0.26666666666666666,0.6666666666666666
56,56,"i think you ' re right ! since the roman times , it has been one of the most valuable foods among italians !","Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.",0.5555555555555555,0.7777777777777777
57,57,i ' m glad to hear that ! the democrats have been around since 1854 to fight the kansas - nebraska act .,"It emerged in 1854 to combat the Kansas–Nebraska Act, an act that dissolved the terms of the Missouri Compromise and allowed slave or free status to be decided in the territories by popular sovereignty.",0.25,0.25
58,58,i love cats too ! they are so small and furry .,"The domestic cat (""Felis silvestris catus"" or ""Felis catus"") is a small, typically furry, carnivorous mammal.",0.0,0.0
59,59,"i ' m not sure , but it originated in india .","Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",0.6666666666666666,1.0
60,60,i know ! i love how the name comes from two original ingredients .,"The drink's name refers to two of its original ingredients, which were kola nuts (a source of caffeine) and coca leaves.",0.7083333333333333,1.0
61,61,"i ' m so sorry to hear that . i know it ' s hard to lose someone you love . there are a lot of environmental factors contributing to cancer , such as obesity , infections , and radiation .","Common environmental factors that contribute to cancer death include tobacco (according to one estimate, accounting for 25–30% of deaths), obesity (30–35%), infections (15–20%), radiation (both ionizing and non-ionizing, up to 10%), lack of physical activity, and environmental pollutants.",0.611111111111111,0.6666666666666666
62,62,"i ' m not sure , but i do know that the keys is an archipelago in the southern portion of florida","The Florida Keys are a coral cay archipelago located off the southern coast of Florida, forming the southernmost portion of the continental United States.",0.6416666666666666,1.0
63,63,"i ' m not sure , but i do know that over 50 billion of them are raised for meat and eggs .","More than 50 billion chickens are raised annually as a source of food, for both their meat and their eggs.",0.9333333333333332,0.9333333333333332
64,64,he was born in 1947 ! he is also an author of supernatural fiction and science fiction .,"Stephen Edwin King (born September 21, 1947) is an American author of horror, supernatural fiction, suspense, science fiction, and fantasy.",0.16666666666666666,0.6666666666666666
65,65,"yes it is , it is the most consumed alcoholic drink in the whole world","Beer is one of the oldest and most widely consumed alcoholic drinks in the world, and the third most popular drink overall after water and tea.",0.0,0.0
66,66,wine has been around for a long time in china,"Wine (Chinese: ""pútáojiǔ""  ""grape alcohol"") has a long history in China.",0.8888888888888888,1.0
67,67,"i would have to say pokemon , its one of my favorite games of all time .","Nintendo is one of the world's largest video game companies by market capitalization, creating some of the best-known and top-selling video game franchises, such as ""Mario"", ""The Legend of Zelda"", and ""Pokémon"".",0.5,0.5
68,68,"i ' m not really a big fan of heavy metal myself , but there are a lot of bands that are considered heavy metal , like black sabbath , deep purple , etc .","In 1968, three of the genre's most famous acts, Led Zeppelin, Black Sabbath and Deep Purple were founded.",0.3333333333333333,0.3333333333333333
69,69,michael phelps is a great swimmer . he was born in 1985 .,"Michael Fred Phelps II (born June 30, 1985) is an American retired competitive swimmer and the most successful and most decorated Olympian of all time, with a total of 28 medals.",0.3,0.4666666666666666
70,70,that ' s right ! the first game show was called spelling bee in 1938 !,"The very first television game show, ""Spelling Bee"", was broadcast in 1938.",0.5833333333333334,0.6666666666666666
71,71,he was born in 1991 and is a songwriter and guitarist .,"Edward Christopher Sheeran, (born 17 February 1991) is an English singer, songwriter, guitarist, and record producer.",0.375,0.75
72,72,"in 2011 , he independently released an extended play .","In early 2011, Sheeran independently released the extended play, ""No.",0.3333333333333333,0.6666666666666666
73,73,"yes , it does have a lot of history . it ' s also the birthplace for western philosophy and olympic games .","Greece is considered the cradle of Western civilization, being the birthplace of democracy, Western philosophy, the Olympic Games, Western literature, historiography, political science, major scientific and mathematical principles, and Western drama.",0.25,0.25
74,74,do you like your steaks grilled or pan fried ?,"Steaks are usually grilled, but they can be pan-fried, or broiled.",0.5,0.5
75,75,brewing has been a part of the western economy since the 19th century !,Since the nineteenth century the brewing industry has been part of most western economies.,0.5222222222222221,1.0
76,76,it can be made in a liquid or block .,"It is made in the form of a liquid, paste, or in a block, or used as a flavoring ingredient in other foods.",0.0526315789473684,0.0526315789473684
77,77,"yes , ethical vegans are people who don ' t use any animal products at all .","The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.",0.0,0.0
78,78,i ' ve heard of it . it ' s a protein that is produced by bacteria .,"Botulinum toxin (BTX) is a neurotoxic protein produced by the bacterium ""Clostridium botulinum"" and related species.",0.3333333333333333,0.5
79,79,"well , it was originally named after a greek city called syracuse , which was located in sicily .","Syracuse was named after the original Greek city Syracuse (Siracusa in Italian), a city on the eastern coast of the Italian island of Sicily.",0.0606060606060606,0.0
80,80,"yeah , as a kid he cared for animals like snakes , armadillos , and even alligators !","As a child, Ross entertained himself by caring for injured animals, purportedly including an armadillo, snake, and alligator.",0.13333333333333333,1.0
81,81,exactly . shift work also increases the chance of developing disorders .,Shift work increases the risk for the development of many disorders.,0.8333333333333333,1.0
82,82,the modern inline skate was developed for ice skating,"The modern style of inline skates was developed as a substitute for ice skates, for use by a Russian athlete training on solid ground for Olympic long track speed skating events.",0.14285714285714285,0.0
83,83,"that ' s awesome ! the company was named after thomas lippton , the founder .",The company is named after its founder Thomas Lipton.,0.8333333333333334,1.0
84,84,"they fall into 3 categories , purely decorative , symbolic , and pictorial",Tattoos fall into three broad categories: purely decorative (with no specific meaning); symbolic (with a specific meaning pertinent to the wearer); pictorial (a depiction of a specific person or item).,0.0,1.0
85,85,i ' ve never seen them live but i know they were formed in 1983 in la .,Red Hot Chili Peppers are an American funk rock band formed in Los Angeles in 1983.,0.5,1.0
86,86,"i ' m not sure when it became popular , but it originated in the 19th century in england .",Brunch originated in England in the late 19th century and became popular in the United States in the 1930s.,0.5,0.5
87,87,"i ' m not sure , but i do know that she wrote six full length novels .","Her six full-length novels have rarely been out of print, although they were published anonymously and brought her moderate success and little fame during her lifetime.",1.0,1.0
88,88,i ' m the opposite . i like cream because it has high fat levels .,Cream has high levels of saturated fat.,0.2,0.5
89,89,you should ! beets are also used for medicinal purposes .,"Other than as a food, beets have use as a food colouring and as a medicinal plant.",0.5,0.6666666666666666
90,90,i did not read them but i do know that it was published in 1978 .,"Published since 1978, it chronicles the life of the title character, the cat Garfield; Jon Arbuckle, his owner; and Jon's dog, Odie.",1.0,1.0
