,id,response,knowledge,Q2_no_nli,Q2
0,0,"i love gardening , it is considered a relaxing activity .",Gardening is considered by many people to be a relaxing activity.,1.0,1.0
1,1,i love indian cuisine ! it ' s a wide variety of regional and traditional cuisines .,Indian cuisine comprises a wide variety of regional and traditional cuisines native to the Indian subcontinent.,1.0,1.0
2,2,bob ross was an american painter and art instructor .,"Robert Norman Ross (October 29, 1942 – July 4, 1995) was an American painter, art instructor, and television host.",0.7,1.0
3,3,he was the creator and host of the joy of painting .,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",0.5,0.5
4,4,it is one of the world ' s most popular hobbies .,It has been one of the world's most popular hobbies since the late nineteenth century with the rapid growth of the postal service.,0.0,0.0
5,5,"i ' ve never heard of stamps , but i do know that the word "" philately "" refers to the study of stamps .","Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",0.0,0.0
6,6,it ' s a first person shooter video game developed in 1996 .,"Quake is a first-person shooter video game, developed by id Software and published by GT Interactive in 1996.",1.0,1.0
7,7,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,1.0,1.0
8,8,"it can be topped with vegetables , meats , and condiments .","It can also be topped with additional vegetables, meats, and condiments, and can be made without cheese.",0.75,0.75
9,9,pizza is one of the most popular foods in the world .,Pizza is one of the most popular foods in the world and common fast food item in Europe and North America.,1.0,1.0
10,10,the nhl is the strongest ice hockey league in the world .,North America's National Hockey League (NHL) is the highest level for men's ice hockey and the strongest professional ice hockey league in the world.,0.5,0.5
11,11,"nike is my favorite brand of footwear , apparel , and accessories .","Nike, Inc. (; ) is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.",0.6666666666666666,1.0
12,12,they are a pop punk band from walnut creek california .,"The Story So Far is an American pop punk band from Walnut Creek, California, formed in 2007.",0.5,0.5
13,13,tennis originated in birmingham england in the late 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",1.0,1.0
14,14,i played the xbox 360 . it was developed by microsoft .,The Xbox 360 is a home video game console developed by Microsoft.,1.0,1.0
15,15,"snowboarding was inspired by skateboarding , sledding and surfing .","The development of snowboarding was inspired by skateboarding, sledding, surfing and skiing.",1.0,1.0
