,id,response,knowledge,Q2_no_nli,Q2,label
0,0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .","In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",0.0,0.0,1
1,1,he became popular in the 1980 ' s and 1980s .,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",0.0,0.0,0
2,2,stamp collecting proved to be a perfect hobby for collectors .,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,0.26666666666666666,0.3333333333333333,0
3,3,"i ' ve never heard of stamps , but i do know that the word "" philately "" refers to the study of stamps .","Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",0.0,0.0,0
4,4,"i ' m not sure , but it is characterized by excessive bleeding and vomiting .","It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",0.0,0.0,1
5,5,"i ' m not sure , but it has been around since 2005 .","Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",0.4,0.4,1
6,6,"that is true , punk music emerged in the early 1980 ' s .","The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",0.0,0.0,1
7,7,tennis originated in birmingham england in the late 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",1.0,1.0,0
8,8,the term tennis is also known as lawn tennis .,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",0.6666666666666666,0.6666666666666666,1
9,9,"it ' s also known as "" snurfer ""","Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.",0.0,0.0,0
10,10,"i ' m not sure , but i do know that the miss universe miss miss miss universe and miss miss world universe .",Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,0.0,0.0,1
11,11,"i ' m not sure , but there are behaviors that affect behaviors .",Most adults realize that the behaviors do not make sense.,0.0,0.0,1
12,12,"i ' m not sure , but i do know that ringo starr began in 1962 .","The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",0.0,0.0,0
13,13,"i ' m not sure , but it ' s been around since 2005 .","Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",0.0,0.0,1
14,14,do you ever play the kickflip ? it was invented by rodney mullen .,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",1.0,1.0,0
15,15,"i haven ' t seen the movie , but i know it was based on the danish fairy tale by hans christian andersen .","The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",0.3333333333333333,0.3333333333333333,0
16,16,"i am not sure , but it has won 122 pulitzer prizes .","Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",0.0,0.0,0
17,17,"i ' ve never been to jamaica , but i ' d love to visit the west of cuba .","Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",0.4,0.4,0
18,18,"i ' m not sure , but they have paired organs in front of each other .","To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",1.0,1.0,0
19,19,"i ' m not sure , but they have a pelvic girdle with a pair of vestigial claws .",Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,0.8888888888888888,1.0,0
20,20,"i ' m not sure , but i do know they ' ve been around since 1957 .","Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",0.0,0.0,1
21,21,the bible is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",1.0,1.0,0
