,id,score,response,cand,question,knowledge_ans,knowledge,label
0,0,0.0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .",thousands of years,How long have they been around?,[CLS],"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",1
1,0,0.0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .",thousands,For how many years have they been around?,[CLS],"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",1
2,0,0.0,"i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .",them,What's very important for their ability to detect?,useful tree and vine species,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",1
3,1,0.0,he became popular in the 1980 ' s and 1980s .,he,Who became popular in the 1980s and 1980s?,[CLS],"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",0
4,2,0.0,stamp collecting proved to be a perfect hobby for collectors .,stamp collecting,What hobby is perfect for collectors?,[CLS],Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,0
5,2,0.8,stamp collecting proved to be a perfect hobby for collectors .,a perfect hobby,What did stamp collecting prove to be for collectors?,almost perfect hobby,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,0
6,2,0.0,stamp collecting proved to be a perfect hobby for collectors .,collectors,Stamp collecting proved to be a perfect hobby for whom?,[CLS],Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,0
7,3,-1.0,"i ' ve never heard of stamps , but i do know that the word "" philately "" refers to the study of stamps .",NO_Q,NO_Q,NO_Q,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",0
8,4,0.0,"i ' m not sure , but it is characterized by excessive bleeding and vomiting .",excessive bleeding,"Along with vomiting, what is a symptom of the condition?",[CLS],"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",1
9,4,0.0,"i ' m not sure , but it is characterized by excessive bleeding and vomiting .",vomiting,"Along with excessive bleeding, what is a symptom of the condition?",bronchospasm,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",1
10,5,-1.0,"i ' m not sure , but it has been around since 2005 .",NO_Q,NO_Q,NO_Q,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",1
11,6,0.0,"that is true , punk music emerged in the early 1980 ' s .",the early 1980 ' s,When did punk music emerge?,[CLS],"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",1
